MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
AQOWIN_stripped.cif,9.999535853,0.040824657,0.150808368,0.006017847,244.9386373,36.29418973,23.8894641,1.378206408,0.064352307,0.737490515,2.389057297,HIGH,3.80296,4.92443,1.17999,1319.16,1117.94,0.62452,0.529259,1.00E-05,0.000709729,0.00208852,4.41785,0.000182086,9.99E-05,1.78E-05,642635.7669,24969336.25,13070433.81,-17.7900326,-35.01208638,-37.41321507,-64.93588946,2
AQUDIB_stripped.cif,2.533078814,0.19086879,0.04374707,0.006010377,13.27130965,0.476633545,2.844429112,0.453995115,0.015597505,0.06304128,1.122913782,LOW,4.26354,6.84576,1.35485,873.924,645.035,0.57732,0.426115,7.25E-07,7.97E-06,7.98E-05,0.0118053,0.000100929,7.78E-05,8.13E-05,29585.85108,251045.0857,2623537.974,-11.59736957,-20.38989224,-30.25934565,-48.2385407,3
ARAJIO_stripped.cif,4.392328532,0.659325676,0.138471896,0.086131582,6.66184966,0.895259632,3.61749906,0.558408427,0.058363118,0.280573553,0.823594828,LOW,4.26368,5.82193,1.16598,800.333,686.404,0.50118,0.429836,0.000147638,0.000642213,0.00262157,4.72E-06,0.000287775,0.000240406,0.000175226,14787582.78,53736769.85,159884847.3,-25.66876032,-31.0592391,-33.26805899,-15.78802304,3
ARAJOU_stripped.cif,4.115133003,0.617241261,0.117337171,0.036014357,6.66697654,0.43296512,3.390577119,0.530273627,0.028203843,0.151053158,0.823928927,LOW,4.05664,5.44423,1.19946,708.356,590.561,0.49082,0.4092,0.000159401,0.000787625,0.00314678,5.01E-06,0.000218293,0.00016764,0.000135366,12458689.55,47275725.08,152516546.2,-26.48493306,-32.37279797,-34.42012135,-16.44245008,3
ARUZAQ_stripped.cif,8.084695865,1.960821557,0.079395584,0.030753154,4.123116576,0.076297012,4.973911978,0.696698095,0.008036487,0.081285812,0.615225614,LOW,5.90319,6.41495,0.868036,2008.42,2313.76,0.64806,0.746582,1.64E-05,3.51E-05,0.0001002,3.02E-06,0.001296355,0.000653772,0.000640614,5508748.274,5943005.57,16632474.1,-15.84365868,-19.00272594,-21.32935857,-11.55704795,2
ARUZEU_stripped.cif,8.176691599,1.974386257,0.040453958,0.017227496,4.141383973,0.041540318,5.046208412,0.702965183,0.004356208,0.043497582,0.617145498,LOW,5.7748,6.53376,0.860041,2017.37,2345.67,0.6489,0.754499,1.61E-05,3.42E-05,9.55E-05,2.93E-06,0.001260146,0.000558787,0.000638591,5199573.967,4899692.573,15658705.84,-15.71923106,-18.80527634,-21.09263031,-11.35240912,2
ASOFUL_stripped.cif,4.290767021,0.668878518,0.066974448,0.032459769,6.414867435,0.327011636,3.463454303,0.539509462,0.022139093,0.109299532,0.807187686,LOW,4.1967,5.1823,1.17589,813.497,691.816,0.50316,0.427899,3.05E-05,0.00015487,0.000468968,3.86E-06,0.000175229,0.000185376,6.70E-05,1873953.056,10077287.7,11021116.67,-22.72926924,-28.82786624,-30.90425397,-16.85143949,2
ASOGAS_stripped.cif,4.664947831,1.002222289,0.047911741,0.037668539,4.654603954,0.181357504,3.115638112,0.493547008,0.016921432,0.085176918,0.667882734,LOW,4.49254,6.09067,1.07095,1093.83,1021.37,0.54588,0.509718,5.38E-05,0.00015575,0.000912268,6.28E-06,0.000506411,0.000361714,0.00023282,8711520.187,18010182.01,67899525.2,-22.12541845,-26.14712828,-31.10738841,-17.65847808,2
ASUBIB_stripped.cif,5.910518309,0.122189111,0.092804645,0.033264281,48.37189048,13.19045723,9.95681813,0.998120574,0.118427102,0.717212217,1.684593061,LOW,4.25508,6.13583,1.52116,1236.29,812.725,0.5344,0.351311,1.94E-05,0.0774434,0.0278717,346247000,0.001110541,7.93E-06,1.82E-05,9769916.707,278690913.4,230100685,-19.51029975,-56.58470596,-48.29396275,-115.334793,3
ASUWUI_stripped.cif,5.06666696,0.44920677,0.121989642,0.015697573,11.27914202,0.478647353,5.331532372,0.72685205,0.018429939,0.15873736,1.052276065,LOW,4.73321,7.16113,1.15085,877.122,762.151,0.52734,0.458218,1.42E-05,0.000115437,0.000273014,22.8798,0.000111586,9.09E-05,8.15E-05,545386.6685,3605578.023,7646731.742,-20.32658436,-30.0437895,-29.76747779,-77.61185006,3
ATAJAI_stripped.cif,4.623743388,0.941704707,0.067075888,0.037766751,4.909971624,0.209399348,3.195371874,0.504521408,0.018521692,0.097380153,0.691078982,LOW,4.56385,6.62082,1.10689,988.889,893.393,0.53058,0.479342,6.37E-05,0.000193536,0.000997813,4.83E-06,0.000359643,0.000195074,0.000257603,7566208.617,12474409.02,84929686.9,-23.0632975,-27.70542814,-31.18401087,-16.7876879,3
ATESAV_stripped.cif,4.112353412,0.526232302,0.096691417,0.037431706,7.814711102,0.58545321,3.671973524,0.564899541,0.032535956,0.159236763,0.892912927,LOW,4.66263,5.6777,1.17995,791.045,670.407,0.49544,0.419883,6.59E-05,0.020104,0.00324785,5134880,0.000444698,1.78E-05,9.85E-05,10329938.14,125881809.2,112642830.1,-23.7909713,-50.87772457,-37.5021625,-107.0915144,2
ATESEZ_stripped.cif,7.948266832,0.450659337,0.11277166,0.038540197,17.6369736,1.528923582,9.906911054,0.995938264,0.037648357,0.330607883,1.246424065,LOW,4.8374,8.10588,1.02081,1168.69,1144.86,0.5634,0.551912,2.43E-05,0.17442,0.0483296,22308200000,0.000192513,1.71E-05,4.42E-05,1422943.421,907258075.5,650428287,-20.25463674,-56.44386075,-49.4355562,-128.7540363,2
ATEXUU_stripped.cif,8.982189714,0.448188639,0.191258341,0.025880283,20.04109191,1.233428564,11.69410482,1.067966982,0.026728644,0.345892908,1.30192138,HIGH,4.53325,5.68223,1.06694,1701,1594.28,0.63024,0.590699,3.48E-05,0.00105303,0.00196213,4.04103,0.000369498,9.77E-05,5.75E-05,4100407.436,32769674.9,35934358.22,-20.17728969,-36.46240149,-35.66911035,-64.89463119,2
ATEYIH_stripped.cif,7.489234812,0.051489321,0.050829909,0.008173947,145.4521949,23.11167774,16.19712,1.2094378,0.069007375,0.528374761,2.162720279,HIGH,4.79044,6.03544,1.15524,940.568,814.176,0.5209,0.450902,5.30E-05,0.00166966,0.00138973,7.58602,0.000672828,0.000103659,0.000173707,12293444.11,59684394.49,83248435.76,-21.64871924,-38.72377944,-32.44502302,-71.08363014,2
ATOBIW_stripped.cif,4.908425008,0.726949466,0.083363817,0.053441761,6.752085586,0.509454578,4.07123392,0.609726056,0.032768144,0.17507297,0.829437939,LOW,5.06381,7.08528,1.11276,992.218,891.673,0.5264,0.473058,2.45E-05,7.68E-05,0.000251112,4.42E-06,0.000894081,0.000306039,0.000327591,7288827.009,7802446.028,27324724.36,-19.67606455,-24.64042995,-26.72928374,-19.19822664,3
ATOLEC_stripped.cif,9.601376991,0.618495249,0.326954041,0.066026597,15.52376838,1.739488446,11.43521267,1.058244246,0.048664101,0.608234198,1.190997154,HIGH,5.03366,6.75856,1.05574,1533.77,1452.8,0.60022,0.568531,2.79E-05,0.00175854,0.00050757,1132.73,0.000451308,3.27E-05,0.000150484,3973223.749,18131495.42,24071207.73,-19.460985,-41.98872373,-30.60066617,-84.90958255,2
ATUYEU_stripped.cif,3.035639527,0.597037944,0.164914296,0.085214001,5.084500172,0.776491357,2.143915154,0.331207594,0.066324299,0.232597969,0.706248266,LOW,3.99153,4.58361,1.1327,442.323,390.502,0.47382,0.41831,8.09E-05,0.000363526,0.00225271,6.87E-06,0.00019465,0.000179009,0.000118571,5327380.133,22002898.99,90313709.05,-26.34131803,-32.26771216,-35.95751827,-19.70300402,2
AVAGIP_stripped.cif,0.553317684,0.211313215,0.026103938,0.023133019,2.618471749,0.312136152,0.231313292,-0.635799411,0.051770277,0.030653653,0.418047893,LOW,4.1025,4.48979,1.61783,149.127,92.1772,0.38438,0.23759,2.56E-06,5.74E-06,6.68E-05,0.000374388,0.000400636,0.00013908,0.000183177,495339.5502,385508.6908,5909896.091,-21.42031729,-26.45868228,-32.0393696,-50.85302005,3
AVAKAL02_stripped.cif,5.276091175,2.967706139,0.223965238,0.058522757,1.777834775,0.08321326,1.318449793,0.120063597,0.020327569,0.120974747,0.249891397,LOW,12.58257,26.26738,0.207415,1291.53,6226.78,0.91258,4.39978,6.03E-06,1.03E-05,1.36E-05,1.04E-05,0.003026168,0.001072814,0.001064424,1130590.113,681801.2005,893747.2743,-7.797570616,-11.14581663,-11.53382742,-18.65219889,3
AVAKEP02_stripped.cif,7.15464214,3.17336443,0.061274617,0.051055085,2.254592026,0.041092469,2.526074952,0.402446233,0.007915504,0.060624135,0.353067967,LOW,12.50241,25.17564,0.244994,1444.89,5897.68,0.89102,3.63691,7.15E-06,1.54E-05,2.71E-05,1.19E-05,0.001895697,0.000801127,0.000713522,991511.9243,901383.5859,1414263.654,-9.716445928,-14.6851006,-16.19742636,-17.67359432,3
AVAPIW_stripped.cif,3.883757619,0.783844592,0.059187372,0.054664051,4.95475463,0.353690724,2.699297578,0.431250765,0.031001723,0.12723655,0.695022152,LOW,5.49521,6.95761,1.1241,930.5,827.774,0.49534,0.440655,1.51E-05,4.02E-05,0.000211936,3.14E-06,0.000180462,0.000109864,9.14E-05,915144.7489,1481785.378,6501358.635,-21.16894189,-25.4911238,-30.49087092,-17.0836127,2
AVEHAM_stripped.cif,2.882351603,0.374122543,0.034231284,0.025654575,7.704298123,0.536168888,2.555876514,0.407539867,0.030224063,0.09225307,0.88673308,LOW,3.91315,4.51878,1.20992,275.315,227.547,0.47356,0.391396,2.42E-05,0.000140947,0.000457119,3.12E-06,0.000310608,0.000185279,0.000173627,2718246.221,9431777.798,28665439.47,-24.73557155,-31.53729216,-33.03612377,-18.57650591,3
AVELOD_stripped.cif,7.103994704,1.369382548,0.218273523,0.070744414,5.187735681,0.3118243,5.079198791,0.705795211,0.026104563,0.242374549,0.71497784,LOW,4.97701,8.08398,0.915242,1516.56,1657.01,0.60986,0.666337,1.51E-05,4.25E-05,0.000169386,4.47E-06,0.000441499,0.000236093,0.00015055,1822973.986,2741958.445,6967058.781,-18.25166087,-24.40417952,-28.10475377,-18.29166737,3
AVEQID_stripped.cif,14.68225834,1.182872527,0.083937613,0.022153265,12.41237581,0.243052885,16.06026047,1.205752585,0.008504136,0.154984185,1.093854916,HIGH,6.22752,7.54994,0.801255,2077.27,2592.52,0.71052,0.886759,1.21E-05,0.000287964,0.000382846,95.8676,0.001451141,0.000120198,0.000206791,4199482.012,8278712.282,18935715.11,-14.33507461,-32.37457921,-30.45348932,-72.34722206,3
AVIHIY_stripped.cif,5.726519959,0.302205083,0.109716022,0.044818407,18.94911862,2.833595665,7.316138991,0.864281948,0.064943124,0.397437264,1.277589015,LOW,6.45442,6.88379,1.62124,1381.24,851.966,0.5708,0.352076,1.22E-05,0.000415607,0.000180008,74.9474,0.000541465,0.000157926,0.000342514,3186840.907,31764235.25,29838192.53,-17.7249184,-37.22292051,-26.56217444,-76.6600684,3
AVIHOE_stripped.cif,5.021001506,0.402878403,0.080922117,0.030955368,12.46282121,0.978426299,5.501091416,0.740448862,0.034095422,0.192789063,1.095616365,LOW,6.45553,6.82367,1.66276,1351.9,813.044,0.56492,0.339748,1.28E-05,7.21E-05,0.000124042,0.0218339,0.000673472,0.000285154,0.000350495,4266390.753,10199175.19,21579171.78,-17.94081532,-26.48667744,-24.72021298,-51.91471765,3
