,MOF,CO2 loading (mol/kg),CH4 loading (mol/kg),CO2 error (mol/kg),CH4 error (mol/kg),SC CO2 loading (mol/kg),SC CH4 loading (mol/kg),SC CO2 error (mol/kg),SC CH4 error (mol/kg),Selectivity (CO2),Selectivity error,TSN,LOG10 TSN,logS error,TSN error,logS,TSN Class,PLD,PLD log10,LCD,LCD log10,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),PV (cc/g) log10,K0_CH4,K0_CH4 log10,K0_CO2,K0_CO2 log10,K0_H2S,K0_H2S log10,K0_H2O,K0_H2O log10,DC_CH4,DC_CH4 log10,DC_CO2,DC_CO2 log10,DC_H2S,DC_H2S log10,P_CH4,P_CH4 log10,P_CO2,P_CO2 log10,P_H2S,P_H2S log10,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O,Maximum Dimensions
20,ADODUU_stripped.cif,3.4158606138,0.4673128917,0.1181299723,0.0308141421,4.1812914243,3.0837997539,0.0445548727,0.0440237782,7.30957924437675,0.5442530291142275,2.95093595103829,0.46995978340287065,0.03233648331882782,0.15038369814548,0.8638923787219464,LOW,5.28543,0.7230803254240616,5.93079,0.7731125466170747,1.31573,868.45,660.052,0.51958,0.394898,-0.4035150657852672,3.74e-05,-4.42712839779952,0.000126114,-3.899236699428069,0.000428626,-3.3679214886510436,2.59e-06,-5.586700235918748,0.000855949,-3.0675521111153894,0.000433582,-3.3629287556738627,0.00056772,-3.2458658059038097,12571021.23,7.099370559829029,21476158.96,7.331956609818829,95572943.0,7.980334959546281,-21.75498628,-26.32226671,-28.3377833,-15.19635143,3
21,AFEJIE_stripped.cif,3.6673783834,0.3897617937,0.0806279771,0.0169823105,4.2485758141,3.5393869818,0.0640372443,0.0274469806,9.409281367949534,0.4592057157282414,3.570399900054114,0.5527168616753065,0.02119508393898399,0.1104699883021808,0.9735564555365085,LOW,4.73442,0.6752667824463507,5.3379,0.7273704334726596,1.24726,545.071,437.015,0.50914,0.408207,-0.3891195522037125,3.5e-05,-4.455931955649724,0.117578,-0.9296739314266709,0.0513813,-1.2891949118313668,7.29696,0.8631419655719919,0.000157312,-3.8032381474656773,1.36e-06,-5.866461091629782,3.05e-06,-5.515700160653214,2050034.828,6.31176123933855,59588132.64,7.775159775811583,58392562.57,7.766357534775007,-24.55665453,-55.20576458,-52.26506081,-71.78921038,2
22,AFEJOK_stripped.cif,7.350718892,0.2671552018,0.0355233567,0.0128672883,7.9078089613,4.5548709037,0.0575216946,0.0320669743,27.51478856662112,1.331879011776311,10.58184631478263,1.024561449775273,0.0210224295918782,0.1627717100112109,1.439566179887406,HIGH,5.11748,0.709056154039651,5.97512,0.7763466317648617,1.12775,1416.59,1256.12,0.57484,0.509722,-0.2926666215174141,1.81e-05,-4.7423214251308154,0.000333579,-3.47680129757623,0.00368491,-2.433573114855321,0.0120981,-1.9172828300395541,0.000371542,-3.4299920854370973,0.000105869,-3.975231189088433,0.000184612,-3.7337400727337187,2264988.482,6.355065997864718,11888709.69,7.07513472216106,229010370.1,8.359855148607299,-18.40477412,-30.4418894,-38.352188,-45.43873439,3
23,AFIPAH_stripped.cif,3.9841739879,0.0054087619,0.0859244705,0.0029359996,4.0458521132,2.4886443079,0.0383166698,0.0416051548,736.6147857053942,400.166799746738,11.42358474617133,1.0578024078666128,0.2359309592251363,0.971739391842771,2.867240431985385,HIGH,3.89822,0.5908663453228762,4.37777,0.6412529407963827,1.83886,461.376,250.903,0.49158,0.267328,-0.5729555507509917,6.85e-06,-5.164309428507575,0.0916795,-1.0377277639176221,0.00898608,-2.046429719350394,988481.0,5.994968325976996,7.4e-05,-4.130768280269024,8.03e-05,-4.095284454721319,3.99e-06,-5.399027104313252,277990.1863,5.444029464583594,4042272720.0,9.606625610712088,19690707.67,7.294261324652755,-20.63360569,-53.50003184,-44.45019965,-99.11054991,3
24,AFITEP_stripped.cif,5.4270317985,1.0104249698,0.0678854705,0.0960396137,6.6977230474,5.643205908,0.0789685393,0.0462868934,5.371038880377439,0.514912367390275,3.962049588226905,0.5979199067801512,0.04163507373560878,0.2313262441931285,0.7300582961982999,LOW,4.10293,0.6130941075413547,4.62627,0.6652309756218632,1.06929,928.266,868.117,0.53124,0.496817,-0.30380355196216124,7.08e-05,-4.149966742310231,0.000321352,-3.493018992824498,0.00146895,-2.832992986438234,7.34e-06,-5.13430394008393,0.000206638,-3.684789810247279,0.000378762,-3.4216335988824422,8.47e-05,-4.072116589669293,4667462.451,6.669080832804491,38850645.76,7.5893982418672765,39705290.52,7.598848378061885,-24.34524631,-29.55764448,-33.42216813,-18.26496947,3
25,AFITIT_stripped.cif,5.2390854871,0.9391079716,0.0602114843,0.0321804331,7.0266794162,4.2235404403,0.0874468797,0.0840546001,5.578789282529395,0.2016338377351692,3.911186658994195,0.5923085428855895,0.01569667873414579,0.0937194058642631,0.746539957903829,LOW,5.37167,0.7301093246256485,7.3314,0.8651869151893038,1.01683,1115.83,1097.37,0.55594,0.54674,-0.26221915156336695,1.86e-05,-4.730487055782084,6.28e-05,-4.2020403562628035,0.000240535,-3.6188217209495153,4e-06,-5.3979400086720375,0.000270797,-3.5673561512522647,0.000123963,-3.906707922044886,0.000152363,-3.8171204847468565,1531809.791,6.185204841114048,2364299.117,6.373702420028509,11124045.48,7.046262755782976,-20.06130737,-25.62375414,-28.72010457,-16.83541012,3
26,AFOTOF_stripped.cif,7.6871773221,1.0204170179,0.0984551761,0.0719787117,9.5935911382,5.2496491013,0.0762090441,0.0450586987,7.533368404537268,0.5400811054169233,6.741571538148064,0.8287611473942371,0.03113537414704273,0.2544414429155769,0.8769892062677679,HIGH,6.7761,0.8309798065799894,8.81879,0.945409000962619,1.07439,1472.61,1370.66,0.62198,0.578916,-0.2373844472967553,2.93e-05,-4.533132379645891,0.000772737,-3.1119682924772167,0.000651462,-3.1861109117574156,902368.0,5.955383685852659,0.000116297,-3.9344314881971765,1.39e-05,-4.856985199745905,4.34e-05,-4.36251027048749,1093928.701,6.038989016904781,3450691.656,6.53790615370454,9060265.913,6.957140944128673,-23.36427479,-39.9381076,-33.72695744,-87.6537958,3
27,AFOTUL_stripped.cif,8.0665864446,0.9977035788,0.1089842332,0.0777684744,9.8551880388,5.3490732223,0.0933019646,0.0387389653,8.085153362186176,0.6396140490052405,7.321945831617894,0.8646265116096392,0.03435690574899148,0.2942687803543764,0.9076882621792779,HIGH,6.81342,0.8333651610016791,8.81317,0.9451321474453752,1.05968,1504.32,1419.59,0.62572,0.590479,-0.22879554317543635,2.83e-05,-4.548213564475709,0.000705292,-3.1516310422514704,0.000628571,-3.2016456596380443,6124.52,3.7870720571965664,0.000162152,-3.790077690323681,7.4e-06,-5.130768280269024,2.14e-05,-4.669586226650809,1450431.679,6.161497276653259,1650935.371,6.217730072313398,4253952.588,6.628792645208289,-23.07685006,-39.57620442,-33.64845124,-91.70119124,3
28,AFOVAT_stripped.cif,8.0494047928,0.9995100427,0.1263904587,0.0685480047,9.8125712224,5.4355844151,0.0836321459,0.0476509392,8.053350590711378,0.5666025529008556,7.292572433471964,0.8628807514449123,0.0305552775066012,0.2713007436737573,0.9059766058721503,HIGH,6.53908,0.8155166506134176,8.35647,0.9220228583865602,1.04077,1488.96,1430.63,0.62044,0.596134,-0.22465610784458181,2.81e-05,-4.55129368009492,0.000198626,-3.7019639032854395,0.000531149,-3.2747836318363834,10.4112,1.0175007893897805,0.000112181,-3.950080692936359,3.65e-05,-4.437707135543525,5.52e-05,-4.2580609222708015,979617.7248,5.99105663446941,2252749.046,6.352712814445642,9109713.308,6.959504709496292,-22.90806997,-31.80233327,-33.07020759,-71.47944446,3
29,AFOVEX_stripped.cif,8.297130541,1.0497491143,0.2408598967,0.0645982436,10.2456210725,5.3995867464,0.1921607124,0.0995490413,7.903917638961517,0.5377849612442687,7.449515648929785,0.8721280367972554,0.02954952870050739,0.3269209511196778,0.8978424061328488,HIGH,6.86802,0.8368315511768508,8.82986,0.945953817766756,1.02206,1498.63,1466.29,0.62982,0.616227,-0.2102592769796085,2.81e-05,-4.55129368009492,0.00179216,-2.746623220111848,0.000747996,-3.126100724572133,81764.2,4.9125631918656785,0.000168357,-3.7737688216686927,1.47e-05,-4.8326826652518236,4e-05,-4.3979400086720375,1441679.458,6.158868710385798,8054191.401,6.906021946032579,9119248.851,6.959959067133162,-22.96056836,-43.74334872,-34.04333453,-96.90801362,3
