,Target,Method,Descriptor Removed,Mean R2,SD R2,Mean MAE,SD MAE,Target SD
21,SC CO2 loading (mol/kg),RF,VSA (m2/cc),0.9456019391854875,0.01388598810101483,0.7038315740233458,0.07250300746736753,4.571950359172822
22,SC CO2 loading (mol/kg),RF,VF,0.937992201194025,0.016483715062816786,0.730966006491536,0.04592122242293473,4.571950359172822
23,SC CO2 loading (mol/kg),RF,Qst_CH4,0.9493417809490964,0.009596348067878787,0.6564741089463687,0.029093798900435806,4.571950359172822
24,SC CO2 loading (mol/kg),RF,Qst_CO2,0.9483703756732444,0.00811925239353732,0.6744405208605305,0.04325796751434083,4.571950359172822
25,SC CO2 loading (mol/kg),RF,Qst_H2S,0.9503880528662029,0.007699707369530383,0.65206922383047,0.044921801413444096,4.571950359172822
26,SC CO2 loading (mol/kg),RF,Qst_H2O,0.9451491541965267,0.008366630596329605,0.6839646372209905,0.054872012161000856,4.571950359172822
27,SC CH4 loading (mol/kg),RF,PLD log10,0.8585586949472598,0.025528373356454033,0.44042713165063463,0.028854498965965612,1.8025077948392052
28,SC CH4 loading (mol/kg),RF,LCD log10,0.8586370587506883,0.021013267841046096,0.43587388414120865,0.019928036193819176,1.8025077948392052
29,SC CH4 loading (mol/kg),RF,Density (g/cc),0.800522479730948,0.03957210791039755,0.5197420843681113,0.026076032876493724,1.8025077948392052
30,SC CH4 loading (mol/kg),RF,VSA (m2/cc),0.8367152739553507,0.025912458492007816,0.4804614870713306,0.03258751774974806,1.8025077948392052
31,SC CH4 loading (mol/kg),RF,VF,0.8546302121417734,0.025281748819465003,0.44755456227998813,0.021278354083521786,1.8025077948392052
32,SC CH4 loading (mol/kg),RF,Qst_CH4,0.8120839775680121,0.027210025936472496,0.5053518275938356,0.025127757614241474,1.8025077948392052
33,SC CH4 loading (mol/kg),RF,Qst_CO2,0.8609444008026648,0.022956789900657804,0.43733485839314323,0.03055030819061409,1.8025077948392052
34,SC CH4 loading (mol/kg),RF,Qst_H2S,0.8600970518182909,0.014084116902388682,0.43690472162061483,0.02643956104890221,1.8025077948392052
35,SC CH4 loading (mol/kg),RF,Qst_H2O,0.8613422864372803,0.027967458648430883,0.4368201690924035,0.03199427023467188,1.8025077948392052
36,TSN,RF,PLD log10,0.6677382885305236,0.1067137719604546,1.2377603966824966,0.07217580178750381,3.994311734858505
37,TSN,RF,LCD log10,0.6781913628857295,0.08300334160002923,1.2271546240284557,0.10781084366223954,3.994311734858505
38,TSN,RF,Density (g/cc),0.6766932973178714,0.10260599063631086,1.228329001587481,0.11226690027448867,3.994311734858505
39,TSN,RF,VSA (m2/cc),0.6705843812946272,0.08094267765719167,1.2481606650963974,0.0918555355977064,3.994311734858505
40,TSN,RF,VF,0.6520010636800866,0.11420486403991417,1.254980738475537,0.12282287469901836,3.994311734858505
41,TSN,RF,Qst_CH4,0.6579754784780965,0.0913848643450801,1.2508183626088611,0.0802930834329025,3.994311734858505
42,TSN,RF,Qst_CO2,0.6358002915197367,0.08484480131082747,1.2826084873440127,0.06971065968329561,3.994311734858505
43,TSN,RF,Qst_H2S,0.6771963977185058,0.07642610640763202,1.2171542619264668,0.08964941443705308,3.994311734858505
44,TSN,RF,Qst_H2O,0.6625344557175321,0.054005084580727766,1.244661797706732,0.10341836282270606,3.994311734858505
45,LOG10 TSN,RF,PLD log10,0.7896937690981186,0.03491893440991619,0.09800785896140332,0.0071483100231248655,0.34532194239506586
46,LOG10 TSN,RF,LCD log10,0.7726020366618709,0.046215309044887,0.09929859122274141,0.006937813099770769,0.34532194239506586
47,LOG10 TSN,RF,Density (g/cc),0.7837214471356867,0.030582030208072843,0.09885975182236485,0.0065233277763977965,0.34532194239506586
48,LOG10 TSN,RF,VSA (m2/cc),0.7536249049338493,0.06913553187944683,0.10239900179339334,0.010938360730002414,0.34532194239506586
49,LOG10 TSN,RF,VF,0.7732503811505719,0.0541035371814184,0.10150489643322506,0.009141765846886606,0.34532194239506586
50,LOG10 TSN,RF,Qst_CH4,0.7801465189253098,0.06528727566368685,0.09833105148011972,0.010856324481151381,0.34532194239506586
51,LOG10 TSN,RF,Qst_CO2,0.7315052947933287,0.06132969687246414,0.1055060425940771,0.006023641798218978,0.34532194239506586
52,LOG10 TSN,RF,Qst_H2S,0.790544976581833,0.04054800080372232,0.09656390446102578,0.005936259629071479,0.34532194239506586
53,LOG10 TSN,RF,Qst_H2O,0.7655528665451992,0.06532308672145234,0.10132258223082313,0.008077792168140795,0.34532194239506586
