,row_name,col_name,R2
83,Density (g/cc),PLD log10,0.08990730080247163
105,VSA (m2/cc),DC_H2S,0.08930366389910999
545,K0_H2O log10,P_H2S log10,0.08919895838328637
389,P_CH4,P_H2S log10,0.08798388778215971
91,Density (g/cc),DC_CO2 log10,0.08766620881334668
28,PLD,DC_CO2 log10,0.08709325619588984
178,VF,DC_CO2 log10,0.08628146306320703
310,DC_CH4,P_CH4,0.08582330605666827
179,VF,DC_H2S log10,0.08551997211044232
80,Density (g/cc),Qst_CO2,0.0851751390660738
349,DC_CO2,P_CO2 log10,0.08514499583233023
44,LCD,DC_H2S,0.08416807261050518
42,LCD,DC_CH4,0.08413453984030808
173,VF,K0_CH4 log10,0.08381246068432746
99,VSA (m2/cc),K0_CH4,0.083190545079099
12,PLD,DC_H2S,0.0830479359943647
95,Density (g/cc),P_H2S log10,0.08244077990311946
146,GSA (m2/g),K0_CO2 log10,0.0821238304635585
156,VF,K0_CH4,0.08043540049267273
6,PLD,K0_CH4,0.08000129157472827
181,VF,P_CO2 log10,0.0791874738476451
503,LCD log10,P_CH4 log10,0.07890255993845406
491,PLD log10,DC_H2S log10,0.07849981500342551
1,PLD,Density (g/cc),0.07814998395939161
507,PV (cc/g) log10,K0_CO2 log10,0.07786336789008494
556,DC_H2S log10,P_CO2 log10,0.07598182174473753
482,Qst_H2O,P_H2S log10,0.07530958221519421
519,K0_CH4 log10,DC_CH4 log10,0.07520660827859965
110,VSA (m2/cc),Qst_CO2,0.07443304168440538
38,LCD,K0_CH4,0.07296686942770056
121,VSA (m2/cc),DC_CO2 log10,0.0727139591850497
79,Density (g/cc),Qst_CH4,0.07049395001779794
62,LCD,P_CH4 log10,0.06830006294262858
537,K0_H2S log10,P_CH4 log10,0.06722071874325096
318,DC_CH4,LCD log10,0.0670776551109963
359,DC_H2S,LCD log10,0.06638259274656406
61,LCD,DC_H2S log10,0.06513250094698031
460,Qst_H2S,K0_CH4 log10,0.06454107497665891
516,K0_CH4 log10,K0_CO2 log10,0.06440349474860253
29,PLD,DC_H2S log10,0.06422720825948194
380,P_CH4,K0_CH4 log10,0.0640993738390885
116,VSA (m2/cc),K0_CH4 log10,0.06395701100689932
502,LCD log10,DC_H2S log10,0.06201702977353458
94,Density (g/cc),P_CO2 log10,0.06139735610521644
174,VF,K0_CO2 log10,0.056533523130455135
322,DC_CH4,K0_H2S log10,0.05648371377650373
