MOF Name,PLD (log10),LCD (log10),Density (g/cc),VSA (m2/cc),VF ,DC_CH4 (log10),DC_CO2 (log10),DC_H2S (log10),Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ACEKOK_stripped.cif,0.708433648,0.789905606,1.28556,959.687,0.5146,-3.56E+00,-4.12E+00,-3.96E+00,-19.58966595,-33.72137319,-31.43272905,-71.27533979
ACEMAY_stripped.cif,0.68060018,0.82050096,1.33807,2741.42,0.74074,-3.01E+00,-4.56E+00,-3.91E+00,-11.90110105,-44.35039399,-34.61072688,-76.456742
ACIBEU_stripped.cif,0.690351158,0.762517267,1.24804,1640.57,0.5775,-2.90E+00,-3.49E+00,-3.49E+00,-16.60765137,-28.52633427,-26.56421681,-54.34195087
ACIBOE_stripped.cif,0.8476658,0.91707678,1.10094,1759.22,0.64228,-3.15E+00,-3.95E+00,-3.82E+00,-15.81357142,-30.13717355,-29.01777959,-56.58259035
ACODON_stripped.cif,0.667951405,0.853073084,1.16485,1418.79,0.59376,-3.49E+00,-3.63E+00,-3.84E+00,-19.45475307,-23.74455407,-27.24767801,-15.30109404
ACOFUU_stripped.cif,0.823731078,0.902815752,0.873813,1990.35,0.69788,-3.03E+00,-3.24E+00,-3.32E+00,-13.15899746,-17.32245691,-20.48775065,-19.780906
ACOGEF_stripped.cif,0.596473936,0.718026445,1.25952,978.891,0.55376,-3.73E+00,-3.64E+00,-3.88E+00,-22.6259913,-28.22445449,-31.60726348,-20.05817136
ACOHUV_stripped.cif,0.616455558,0.672498702,0.805379,1650.13,0.67406,-3.23E+00,-4.01E+00,-3.71E+00,-16.82924307,-30.16215597,-30.70682337,-48.29145174
ACOLUB_stripped.cif,0.697642511,0.871240667,1.08434,1306.47,0.5899,-3.59E+00,-3.66E+00,-3.83E+00,-19.28309501,-25.4373863,-28.09951429,-36.52772547
ACONOY_stripped.cif,0.704624892,0.828296974,1.55586,1224.62,0.56846,-3.51E+00,-3.58E+00,-3.95E+00,-17.60281451,-22.57007804,-29.58427285,-27.47355694
ACOQEP_stripped.cif,0.602438748,0.689849392,1.50065,651.372,0.5448,-3.60E+00,-4.56E+00,-3.71E+00,-19.05126061,-53.64922214,-28.29562323,-115.9752998
ACUFEK_stripped.cif,0.881637969,1.11953268,0.841175,2081.64,0.76578,-3.13E+00,-3.33E+00,-3.39E+00,-12.61792834,-16.28238325,-18.40756647,-10.34029863
ACUTOI_stripped.cif,0.656891287,0.715181583,1.71994,652.373,0.40616,-3.42E+00,-3.89E+00,-3.76E+00,-22.60224237,-29.90071483,-34.74488418,-37.96705026
ADASAB_stripped.cif,1.130016779,1.358518276,0.343941,1654.07,0.8704,-2.72E+00,-2.97E+00,-3.28E+00,-8.759419326,-12.8555114,-16.75761236,-43.97769599
ADASEF_stripped.cif,0.996943563,1.334832588,0.467309,1892.44,0.83566,-3.08E+00,-3.46E+00,-3.52E+00,-13.36867784,-17.35466019,-21.95783169,-50.73639889
ADASIJ_stripped.cif,0.820355833,1.261128871,0.629248,2097.43,0.77242,-3.04E+00,-3.36E+00,-3.20E+00,-13.49404997,-18.92192767,-19.12019278,-26.4333466
ADASOP_stripped.cif,0.825174167,1.256225941,0.63164,2116.69,0.77226,-2.94E+00,-3.64E+00,-3.29E+00,-14.10586841,-28.7001285,-24.31033647,-50.95151014
ADATAC_stripped.cif,1.011713775,1.42066177,0.337271,1730.68,0.87048,-2.80E+00,-3.38E+00,-3.22E+00,-11.47776001,-21.88124164,-21.18074604,-51.40084408
ADATIK_stripped.cif,1.085442573,1.389845888,0.377573,1719.8,0.86924,-2.88E+00,-3.17E+00,-3.15E+00,-11.26592188,-16.94865209,-18.03384533,-44.36458256
ADATUW_stripped.cif,0.947455289,1.014784647,0.788541,1671.53,0.6547,-3.21E+00,-3.76E+00,-3.71E+00,-14.81097902,-24.31976453,-27.01385698,-35.20371061
ADAXIO_stripped.cif,0.699712014,0.757913533,1.28062,930.522,0.49644,-3.65E+00,-4.05E+00,-3.80E+00,-21.42485551,-25.86621032,-28.37423849,-15.14266821
ADIPUA_stripped.cif,0.592838247,0.639883747,1.22944,592.133,0.48984,-3.68E+00,-3.59E+00,-3.97E+00,-27.48411444,-34.36590317,-36.51571718,-18.54527534
ADIQEL_stripped.cif,0.592580874,0.646751611,1.23763,470.121,0.48232,-4.10E+00,-3.62E+00,-4.58E+00,-29.07331255,-35.66615785,-38.98994706,-19.80859806
ADOCAY_stripped.cif,0.585565624,0.734609434,1.70055,296.122,0.45174,-3.42E+00,-3.74E+00,-3.98E+00,-21.42180489,-28.53148918,-29.7853115,-25.04516449
ADOCIG_stripped.cif,0.583148878,0.731461439,1.74701,294.765,0.45112,-3.40E+00,-3.85E+00,-3.80E+00,-21.53979137,-28.78603076,-29.9778918,-25.06297836
ADODII_stripped.cif,0.726216022,0.776230322,1.21662,883.082,0.53588,-3.09E+00,-3.37E+00,-3.28E+00,-20.98461397,-25.64727047,-27.3805404,-15.13698953
ADODOO_stripped.cif,0.724844996,0.774147476,1.28796,876.041,0.5229,-3.03E+00,-3.33E+00,-3.35E+00,-21.52084402,-26.09177603,-28.03207844,-15.13941132
ADODUU_stripped.cif,0.723080325,0.773112547,1.31573,868.45,0.51958,-3.07E+00,-3.36E+00,-3.25E+00,-21.75498628,-26.32226671,-28.3377833,-15.19635143
ADONOX_stripped.cif,0.836470966,0.89109011,0.854856,1665.38,0.65304,-3.37E+00,-4.37E+00,-4.15E+00,-17.21052179,-35.23976688,-31.38865353,-42.49464093
ADUBAE_stripped.cif,0.82460219,0.87667788,1.02412,1042.09,0.55564,-3.42E+00,-4.60E+00,-4.17E+00,-13.35602743,-37.86325412,-27.78585683,-56.88199592
ADUQOH_stripped.cif,0.690590311,0.779962818,1.03729,1124.18,0.53064,-3.60E+00,-3.78E+00,-4.09E+00,-22.01791391,-27.50107721,-34.55890495,-30.63912031
ADUREW_stripped.cif,0.893231744,0.97110878,0.520844,2913.01,0.83192,-2.59E+00,-3.29E+00,-3.36E+00,-9.651105487,-21.83206583,-23.21119102,-53.50393369
ADUWIH_stripped.cif,0.816332791,0.967721566,0.722123,1887.52,0.71238,-3.28E+00,-3.43E+00,-3.49E+00,-14.81452975,-20.18632821,-22.55572815,-51.82802664
ADUWON_stripped.cif,0.777951429,1.214296663,0.521247,2238.55,0.77264,-2.95E+00,-3.30E+00,-3.21E+00,-13.77397978,-20.32973455,-19.91396324,-35.34628637
AFEHAV_stripped.cif,0.642608931,0.726443562,0.600055,1677.18,0.63442,-2.98E+00,-3.58E+00,-3.44E+00,-15.27611274,-27.44236138,-26.39750872,-33.75756923
AFEHUO_stripped.cif,0.893877669,0.980540564,0.915349,1714.34,0.67098,-2.85E+00,-3.95E+00,-4.39E+00,-15.422413,-27.94594019,-35.52833283,-46.64571824
AFEJIE_stripped.cif,0.675266782,0.727370433,1.24726,545.071,0.50914,-3.80E+00,-5.87E+00,-5.52E+00,-24.55665453,-55.20576458,-52.26506081,-71.78921038
AFEJOK_stripped.cif,0.709056154,0.776346632,1.12775,1416.59,0.57484,-3.43E+00,-3.98E+00,-3.73E+00,-18.40477412,-30.4418894,-38.352188,-45.43873439
AFEYAL02_stripped.cif,0.693451691,0.734137085,1.06915,2773.95,0.71844,-2.45E+00,-3.87E+00,-3.44E+00,-12.68680673,-33.26381827,-26.60501442,-57.05769853
AFEYAL03_stripped.cif,0.68927955,0.729764771,1.06274,2818.61,0.72148,-2.24E+00,-3.91E+00,-3.31E+00,-12.6975722,-32.94260835,-26.41911031,-55.81089596
AFEYAL05_stripped.cif,0.709907363,0.738745687,1.03583,2741.53,0.7254,-2.26E+00,-3.57E+00,-3.39E+00,-12.0787013,-29.50758276,-25.42219255,-57.97657217
AFEYAL06_stripped.cif,0.710108899,0.737345335,1.05341,2739.21,0.72042,-2.32E+00,-3.55E+00,-3.43E+00,-12.23797045,-29.88000942,-25.52875097,-56.32032735
AFILEH_stripped.cif,0.83749753,0.892483067,0.851795,1643.89,0.65194,-3.36E+00,-4.42E+00,-4.35E+00,-17.0935353,-35.41120092,-31.50068449,-43.65500663
AFIPAH_stripped.cif,0.590866345,0.641252941,1.83886,461.376,0.49158,-4.13E+00,-4.10E+00,-5.40E+00,-20.63360569,-53.50003184,-44.45019965,-99.11054991
AFITEP_stripped.cif,0.613094108,0.665230976,1.06929,928.266,0.53124,-3.68E+00,-3.42E+00,-4.07E+00,-24.34524631,-29.55764448,-33.42216813,-18.26496947
AFITIT_stripped.cif,0.730109325,0.865186915,1.01683,1115.83,0.55594,-3.57E+00,-3.91E+00,-3.82E+00,-20.06130737,-25.62375414,-28.72010457,-16.83541012
AFOTOF_stripped.cif,0.830979807,0.945409001,1.07439,1472.61,0.62198,-3.93E+00,-4.86E+00,-4.36E+00,-23.36427479,-39.9381076,-33.72695744,-87.6537958
AFOTUL_stripped.cif,0.833365161,0.945132147,1.05968,1504.32,0.62572,-3.79E+00,-5.13E+00,-4.67E+00,-23.07685006,-39.57620442,-33.64845124,-91.70119124
AFOVAT_stripped.cif,0.815516651,0.922022858,1.04077,1488.96,0.62044,-3.95E+00,-4.44E+00,-4.26E+00,-22.90806997,-31.80233327,-33.07020759,-71.47944446
AFOVEX_stripped.cif,0.836831551,0.945953818,1.02206,1498.63,0.62982,-3.77E+00,-4.83E+00,-4.40E+00,-22.96056836,-43.74334872,-34.04333453,-96.90801362
AFOVIB_stripped.cif,0.828941388,0.944626262,1.09481,1482.59,0.62014,-4.17E+00,-4.21E+00,-4.57E+00,-23.61734523,-31.52334574,-33.97408603,-69.21311062
AFUJUI_stripped.cif,0.592706252,0.794053535,1.15294,950.843,0.51948,-3.74E+00,-3.76E+00,-4.00E+00,-20.96591794,-26.4461688,-29.01251568,-18.21335256
AFUKAP_stripped.cif,0.695069076,0.86642381,0.959143,1305.85,0.58552,-3.45E+00,-3.61E+00,-3.91E+00,-18.93756787,-24.37150377,-27.18123199,-26.6209388
AFUKET_stripped.cif,0.679847451,0.776308108,0.959709,1397.98,0.58756,-4.07E+00,-4.17E+00,-4.38E+00,-25.24044861,-40.61301694,-34.96031156,-80.85237597
AFUPEX_stripped.cif,0.661577971,0.736206806,1.38641,1768.78,0.6308,-3.08E+00,-3.88E+00,-3.71E+00,-17.37821217,-33.9883419,-29.57316341,-71.69623601
AGADUI_stripped.cif,0.585755048,0.64679373,1.3477,98.5762,0.36156,-3.78E+00,-3.95E+00,-4.17E+00,-23.43306818,-28.56975728,-31.51643449,-16.1982519
AGARUW_stripped.cif,0.795395422,0.830745807,1.77195,1099.77,0.51774,-3.13E+00,-4.18E+00,-4.00E+00,-16.10650952,-35.21138875,-30.38358577,-74.7409815
AGASUX_stripped.cif,0.587804098,0.660945123,1.16158,482.85,0.46812,-4.28E+00,-4.58E+00,-4.43E+00,-24.73532557,-34.10227303,-35.9647014,-22.60147201
AGAWOU_stripped.cif,0.659467419,0.764170152,1.01998,2053.27,0.668,-3.01E+00,-3.40E+00,-3.22E+00,-15.6743596,-23.05385819,-25.59659639,-43.50382846
AGAWUA_stripped.cif,0.711747351,0.859025955,1.10112,1315.16,0.59896,-3.54E+00,-4.84E+00,-4.29E+00,-19.29135029,-39.51807463,-32.69448048,-69.4676989
AGAXEL_stripped.cif,0.766826866,0.790502609,1.08529,1304.39,0.59678,-3.08E+00,-4.74E+00,-4.31E+00,-18.86090724,-40.10985332,-37.48014494,-65.23523048
AGAXIP_stripped.cif,0.831297587,0.906060692,0.793145,1921.39,0.67036,-3.30E+00,-4.22E+00,-3.96E+00,-16.89705306,-36.80143293,-28.32733674,-64.15333744
AGAYAI_stripped.cif,0.88876621,0.997516129,0.642935,2126.32,0.74632,-2.96E+00,-3.29E+00,-3.23E+00,-12.6046474,-17.20920272,-17.99342225,-30.00050361
AGOFAF_stripped.cif,0.582525833,0.801634175,1.01388,531.92,0.59118,-3.77E+00,-3.92E+00,-4.04E+00,-21.00987632,-27.59642144,-29.73984628,-18.79327796
AGOFEJ_stripped.cif,0.940296792,1.100845941,0.583675,1896.05,0.75884,-3.41E+00,-3.60E+00,-3.65E+00,-16.04309022,-20.89375001,-25.12451086,-25.66240239
AGOHOV_stripped.cif,0.600586321,0.680915394,1.3562,579.683,0.46636,-3.65E+00,-3.90E+00,-3.81E+00,-25.85150684,-32.39833033,-34.81980772,-21.23831893
AGOVID_stripped.cif,0.93693627,1.09623442,0.64221,2031.03,0.7613,-3.21E+00,-3.64E+00,-3.57E+00,-14.43018743,-21.83856409,-21.81171813,-14.79713259
AGOWAW_stripped.cif,0.920468224,1.133472801,0.746106,1835.7,0.73366,-3.58E+00,-3.88E+00,-4.17E+00,-18.62572582,-27.40043179,-26.84719201,-15.49911565
AGOWEA_stripped.cif,0.65718593,0.919867999,1.19036,1009.76,0.62074,-3.74E+00,-4.15E+00,-4.85E+00,-22.7089511,-30.54450857,-32.82448241,-21.13342779
AGPYNO01_stripped.cif,0.781446593,0.798545684,0.886099,3598.65,0.81118,-2.37E+00,-3.16E+00,-2.98E+00,-6.690112803,-16.66740712,-17.07876952,-34.44629971
