MOF Name,PLD,LCD,Density (g/cc),VSA (m2/cc),GSA (m2/g),VF,PV (cc/g),K0_CH4,K0_CO2,K0_H2S,K0_H2O,DC_CH4,DC_CO2,DC_H2S,P_CH4,P_CO2,P_H2S,Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ADOCAY_stripped.cif,3.85093,5.42762,1.70055,296.122,174.132,0.45174,0.265643,9.12E-06,4.73E-05,0.000146006,7.29E-06,0.000384244,0.000180004,0.000104179,1778826.58,4318249.45,7721422.475,-21.42180489,-28.53148918,-29.7853115,-25.04516449
ADOCIG_stripped.cif,3.82956,5.38842,1.74701,294.765,168.725,0.45112,0.258224,9.19E-06,4.86E-05,0.000150428,7.28E-06,0.000400028,0.000140753,0.000157808,1916907.607,3565733.504,12379614.97,-21.53979137,-28.78603076,-29.9778918,-25.06297836
ADODII_stripped.cif,5.32373,5.97352,1.21662,883.082,725.85,0.53588,0.440467,3.00E-05,0.000103374,0.000318927,2.63E-06,0.000820282,0.000421972,0.000520238,8923506.542,15841816.88,60256482.11,-20.98461397,-25.64727047,-27.3805404,-15.13698953
ADODOO_stripped.cif,5.30695,5.94494,1.28796,876.041,680.175,0.5229,0.40599,0.000034813,0.000118071,0.000391207,2.57E-06,0.000929604,0.000469246,0.000448797,12442201.47,21301070.19,67501590.2,-21.52084402,-26.09177603,-28.03207844,-15.13941132
ADODUU_stripped.cif,5.28543,5.93079,1.31573,868.45,660.052,0.51958,0.394898,3.74E-05,0.000126114,0.000428626,2.59E-06,0.000855949,0.000433582,0.00056772,12571021.23,21476158.96,95572943,-21.75498628,-26.32226671,-28.3377833,-15.19635143
ADONOX_stripped.cif,6.86232,7.78198,0.854856,1665.38,1948.14,0.65304,0.763918,8.33E-06,0.000127563,0.000219141,0.0029384,0.000430881,4.25E-05,7.07E-05,915383.0334,1382466.557,3953534.674,-17.21052179,-35.23976688,-31.38865353,-42.49464093
ADUBAE_stripped.cif,6.67732,7.52797,1.02412,1042.09,1017.55,0.55564,0.542552,2.97E-06,0.000137508,8.73E-05,0.418093,0.000383744,2.52E-05,6.71E-05,348766.0113,1058424.507,1790117.408,-13.35602743,-37.86325412,-27.78585683,-56.88199592
ADUQOH_stripped.cif,4.90445,6.02508,1.03729,1124.18,1083.76,0.53064,0.511561,3.53E-05,0.000109868,0.00129008,7.21E-05,0.000250983,0.000165347,8.11E-05,2743684.113,5624988.64,32376844.25,-22.01791391,-27.50107721,-34.55890495,-30.63912031
ADUREW_stripped.cif,7.82045,9.3564,0.520844,2913.01,5592.86,0.83192,1.59726,3.92E-06,4.17E-05,9.11E-05,0.25689,0.00256479,0.000516681,0.000440586,1564250.885,3346333.025,6239315.296,-9.651105487,-21.83206583,-23.21119102,-53.50393369
ADUWIH_stripped.cif,6.55138,9.28371,0.722123,1887.52,2613.84,0.71238,0.986508,1.09E-05,3.71E-05,9.49E-05,0.0629433,0.000523803,0.000367341,0.000321238,1229832.147,2940063.486,6571003.16,-14.81452975,-20.18632821,-22.55572815,-51.82802664
ADUWON_stripped.cif,5.99724,16.37935,0.521247,2238.55,4294.61,0.77264,1.48229,1.27E-05,3.54E-05,0.00007377,8.67E-05,0.001123358,0.000501448,0.00061394,2216112.107,2762815.634,7047005.042,-13.77397978,-20.32973455,-19.91396324,-35.34628637
AFEHAV_stripped.cif,4.39146,5.32652,0.600055,1677.18,2795.04,0.63442,1.05727,1.20E-05,0.000101722,0.000225858,0.000647577,0.001049602,0.000264346,0.000359626,2247907.478,4816533.874,14549000.86,-15.27611274,-27.44236138,-26.39750872,-33.75756923
AFEHUO_stripped.cif,7.83209,9.56182,0.915349,1714.34,1872.88,0.67098,0.733032,1.34E-05,0.000100381,0.000867183,0.00727123,0.001418018,0.000112552,4.08E-05,5173133.029,3087084.42,9667582.564,-15.422413,-27.94594019,-35.52833283,-46.64571824
AFEJIE_stripped.cif,4.73442,5.3379,1.24726,545.071,437.015,0.50914,0.408207,3.50E-05,0.117578,0.0513813,7.29696,0.000157312,1.36E-06,3.05E-06,2050034.828,59588132.64,58392562.57,-24.55665453,-55.20576458,-52.26506081,-71.78921038
AFEJOK_stripped.cif,5.11748,5.97512,1.12775,1416.59,1256.12,0.57484,0.509722,1.81E-05,0.000333579,0.00368491,0.0120981,0.000371542,0.000105869,0.000184612,2264988.482,11888709.69,229010370.1,-18.40477412,-30.4418894,-38.352188,-45.43873439
AFEYAL02_stripped.cif,4.93687,5.42172,1.06915,2773.95,2594.53,0.71844,0.67197,4.24E-06,0.000477919,0.000231912,0.91435,0.003529344,0.000133962,0.000366565,4774057.784,20432917.65,27131106.37,-12.68680673,-33.26381827,-26.60501442,-57.05769853
AFEYAL03_stripped.cif,4.88967,5.36741,1.06274,2818.61,2652.22,0.72148,0.67889,4.41E-06,0.000439512,0.000232048,0.746364,0.005718058,0.000122933,0.000486542,7998966.68,17140435.57,35816295.39,-12.6975722,-32.94260835,-26.41911031,-55.81089596
AFEYAL05_stripped.cif,5.12752,5.47956,1.03583,2741.53,2646.7,0.7254,0.700309,3.96E-06,0.00023711,0.000164841,1.09391,0.00554629,0.000269957,0.000406427,6785581.598,19791901.42,20715319.37,-12.0787013,-29.50758276,-25.42219255,-57.97657217
AFEYAL06_stripped.cif,5.1299,5.46192,1.05341,2739.21,2600.34,0.72042,0.683896,4.10E-06,0.000254179,0.000169988,0.686255,0.004772745,0.0002788,0.000373497,6156973.889,22283574.8,19964463.55,-12.23797045,-29.88000942,-25.52875097,-56.32032735
AFILEH_stripped.cif,6.87856,7.80698,0.851795,1643.89,1929.91,0.65194,0.765372,8.20E-06,0.000128012,0.000220759,0.00353889,0.000440221,3.77E-05,4.51E-05,918176.0177,1227074.218,2529122.501,-17.0935353,-35.41120092,-31.50068449,-43.65500663
AFIPAH_stripped.cif,3.89822,4.37777,1.83886,461.376,250.903,0.49158,0.267328,6.85E-06,0.0916795,0.00898608,988481,7.40E-05,8.03E-05,3.99E-06,277990.1863,4042272720,19690707.67,-20.63360569,-53.50003184,-44.45019965,-99.11054991
AFITEP_stripped.cif,4.10293,4.62627,1.06929,928.266,868.117,0.53124,0.496817,7.08E-05,0.000321352,0.00146895,7.34E-06,0.000206638,0.000378762,8.47E-05,4667462.451,38850645.76,39705290.52,-24.34524631,-29.55764448,-33.42216813,-18.26496947
