MOF Name,PLD (log10),LCD (log10),Density (g/cc),VSA (m2/cc),VF ,DC_CH4 (log10),DC_CO2 (log10),DC_H2S (log10),Qst_CH4,Qst_CO2,Qst_H2S,Qst_H2O
ABIYIV_stripped.cif,0.589252384,0.757923391,1.1231799999999998,1209.04,0.5594399999999999,-3.76,-4.15,-4.27,-18.78734133,-33.587390500000005,-30.897796600000003,-62.08742562
ABUBOQ_stripped.cif,0.5930378279999999,0.659041028,2.33238,902.875,0.45863999999999994,-2.4,-2.91,-2.93,-15.54783406,-20.02463664,-24.55291076,-20.41588163
ABUWOJ_stripped.cif,0.605347073,0.705837209,1.1583299999999999,1027.24,0.61912,-3.4,-4.41,-4.77,-19.61994847,-42.39994051,-44.77896143,-80.28341605
ACAFAO_stripped.cif,0.7301788490000001,0.793952342,1.58979,755.3389999999999,0.4461,-3.73,-3.96,-4.08,-22.18942595,-26.45639695,-29.96750393,-15.30874444
ACAJOF_stripped.cif,0.7856728629999999,0.8365760090000001,1.21871,961.577,0.51108,-3.8,-3.85,-4.23,-19.10190221,-23.29589537,-28.73373544,-19.28129708
ACASUT_stripped.cif,0.637465713,0.7719363929999999,1.06202,1995.1,0.66802,-3.17,-3.73,-4.1,-14.39846193,-30.77705009,-36.13038062,-63.9634004
ACATAB_stripped.cif,0.7798892890000001,0.8171361509999999,1.1936,1050.76,0.54702,-3.45,-3.53,-3.68,-17.41411961,-20.12012549,-23.38428126,-20.57112451
ACATEF_stripped.cif,0.6469876210000001,0.7517177970000001,1.2219799999999998,1189.41,0.54246,-3.19,-3.41,-3.5,-19.86189494,-24.64294151,-26.6283717,-15.92036265
ACEKOK_stripped.cif,0.708433648,0.7899056059999999,1.28556,959.687,0.5146,-3.56,-4.12,-3.96,-19.58966595,-33.72137319,-31.43272905,-71.27533979
ACEMAY_stripped.cif,0.68060018,0.82050096,1.33807,2741.42,0.74074,-3.01,-4.56,-3.91,-11.90110105,-44.35039399,-34.61072688,-76.456742
ACIBEU_stripped.cif,0.690351158,0.762517267,1.24804,1640.57,0.5775,-2.9,-3.49,-3.49,-16.60765137,-28.52633427,-26.56421681,-54.34195087
ACIBOE_stripped.cif,0.8476658000000001,0.91707678,1.10094,1759.22,0.6422800000000001,-3.15,-3.95,-3.82,-15.81357142,-30.13717355,-29.01777959,-56.58259035
ACODON_stripped.cif,0.667951405,0.853073084,1.16485,1418.79,0.5937600000000001,-3.49,-3.63,-3.84,-19.45475307,-23.74455407,-27.24767801,-15.30109404
ACOFUU_stripped.cif,0.823731078,0.9028157520000001,0.873813,1990.35,0.6978800000000001,-3.03,-3.24,-3.32,-13.15899746,-17.32245691,-20.48775065,-19.780905999999998
ACOGEF_stripped.cif,0.596473936,0.718026445,1.25952,978.8910000000001,0.55376,-3.73,-3.64,-3.88,-22.6259913,-28.22445449,-31.60726348,-20.05817136
ACOHUV_stripped.cif,0.616455558,0.6724987020000001,0.805379,1650.13,0.67406,-3.23,-4.01,-3.71,-16.82924307,-30.16215597,-30.70682337,-48.29145174
ACOLUB_stripped.cif,0.697642511,0.871240667,1.0843399999999999,1306.47,0.5899,-3.59,-3.66,-3.83,-19.28309501,-25.4373863,-28.09951429,-36.52772547
ACONOY_stripped.cif,0.704624892,0.828296974,1.55586,1224.62,0.5684600000000001,-3.51,-3.58,-3.95,-17.60281451,-22.57007804,-29.58427285,-27.47355694
ACOQEP_stripped.cif,0.602438748,0.6898493920000001,1.50065,651.372,0.5448,-3.6,-4.56,-3.71,-19.05126061,-53.64922214,-28.29562323,-115.97529979999999
