,MOF,TSN Class,Predictions,TSN,Correct,,,
555,HEWFAR_stripped.cif,LOW,LOW,8.512938129,TRUE,,,
606,FAQLER_stripped.cif,LOW,LOW,8.497687022,TRUE,,,
688,WORREC_stripped.cif,LOW,LOW,8.495227805,TRUE,,,
240,UCEXAC_stripped.cif,LOW,HIGH,8.480281118,FALSE,,,
574,NIMPEG01_stripped.cif,LOW,LOW,8.455582387,TRUE,,,
691,LUSYEF_stripped.cif,LOW,LOW,8.437679272,TRUE,,,
390,UVOTOQ_stripped.cif,LOW,HIGH,8.428068682,FALSE,,,
127,LASYOU_stripped.cif,LOW,LOW,8.38063346,TRUE,,,
549,XAXVEA_stripped.cif,LOW,HIGH,8.361044396,FALSE,,,
171,DAWCIP_stripped.cif,LOW,LOW,8.357724712,TRUE,,,
174,YURKEC_stripped.cif,LOW,HIGH,8.331799236,FALSE,,,
504,UCEXIK_stripped.cif,LOW,HIGH,8.327651543,FALSE,,,
380,ZOXGOK_stripped.cif,LOW,LOW,8.31358057,TRUE,,,
754,NIRGIG_stripped.cif,LOW,LOW,8.247595915,TRUE,,,
593,PEWDIG_stripped.cif,LOW,HIGH,8.234260497,FALSE,,,
138,EZIMEG_stripped.cif,LOW,LOW,8.227141256,TRUE,,,
499,KIJRUS_stripped.cif,LOW,LOW,8.223499314,TRUE,,,
143,GAWMOJ_stripped.cif,LOW,HIGH,8.180806347,FALSE,,,
255,HOGLEV01_stripped.cif,LOW,LOW,8.175402905,TRUE,,,
41,PUFQIS_stripped.cif,LOW,LOW,8.15098032,TRUE,,,
444,FUTZOK_stripped.cif,LOW,LOW,8.118333733,TRUE,,,
413,QEJBEP_stripped.cif,LOW,LOW,8.092003633,TRUE,,,
699,TOBKAY_stripped.cif,LOW,HIGH,8.066688682,FALSE,,,
0,EMAMOW_stripped.cif,LOW,LOW,8.061144891,TRUE,,,
266,OCEYIH_stripped.cif,LOW,LOW,8.020814707,TRUE,,,
267,UREVOE_stripped.cif,LOW,HIGH,7.97449926,FALSE,,,
567,QIXNIW_stripped.cif,LOW,HIGH,7.960059672,FALSE,,,
420,ZILBAZ_stripped.cif,LOW,HIGH,7.936893188,FALSE,,,
80,SEHXIN_stripped.cif,LOW,LOW,7.92561905,TRUE,,,
616,NAWWUG_stripped.cif,LOW,LOW,7.898417413,TRUE,,,
442,GURMOX_stripped.cif,LOW,LOW,7.897683659,TRUE,,,
713,RUYVAK_stripped.cif,LOW,LOW,7.858617631,TRUE,,,
96,GITWOX_stripped.cif,LOW,HIGH,7.854922125,FALSE,,,
573,EMAMIQ_stripped.cif,LOW,LOW,7.848924906,TRUE,,,
591,RUWXEN_stripped.cif,LOW,HIGH,7.844453366,FALSE,,,
697,POTREX_stripped.cif,LOW,LOW,7.812534337,TRUE,,,
332,HIFTOG02_stripped.cif,LOW,LOW,7.794474516,TRUE,,,
469,MULXOI_stripped.cif,LOW,LOW,7.789404026,TRUE,,,
186,FAFROW_stripped.cif,LOW,LOW,7.783076696,TRUE,,,
516,OGODOD_stripped.cif,LOW,LOW,7.774693462,TRUE,,,
441,FIRNUR_stripped.cif,LOW,LOW,7.765448872,TRUE,,,
176,VUGXEC_stripped.cif,LOW,LOW,7.736350865,TRUE,,,
317,MIJSII_stripped.cif,LOW,LOW,7.736041674,TRUE,,,
635,VOCXUH_stripped.cif,LOW,LOW,7.732791072,TRUE,,,
532,KINFAQ_stripped.cif,LOW,LOW,7.710498415,TRUE,,,
356,UPIBOM_stripped.cif,LOW,LOW,7.701180737,TRUE,,,
446,UKUQEX_stripped.cif,LOW,LOW,7.681701075,TRUE,,,
694,DAMQOY_stripped.cif,LOW,LOW,7.678297286,TRUE,,,
398,LAVTAF_stripped.cif,LOW,LOW,7.676930326,TRUE,,,
208,ACIBEU_stripped.cif,LOW,LOW,7.64958797,TRUE,,,
618,ZEZQEC_stripped.cif,LOW,LOW,7.614840836,TRUE,,,
277,WORKUL_stripped.cif,LOW,HIGH,7.57747823,FALSE,,,
368,RUWWOW01_stripped.cif,LOW,LOW,7.569068885,TRUE,,,
646,CONKIB_stripped.cif,LOW,LOW,7.559983561,TRUE,,,
436,EPOTAF_stripped.cif,LOW,LOW,7.540893361,TRUE,,,
672,FELRAR_stripped.cif,LOW,HIGH,7.532220539,FALSE,,,
465,FAMQES_stripped.cif,LOW,LOW,7.479694042,TRUE,,,
52,KAFTOD_stripped.cif,LOW,HIGH,7.466742644,FALSE,,,
242,QUQBEL_stripped.cif,LOW,LOW,7.414768014,TRUE,,,
700,OHAGAH_stripped.cif,LOW,LOW,7.406354596,TRUE,,,
656,GOTNEK_stripped.cif,LOW,LOW,7.403243449,TRUE,,,
779,KIKFIV_stripped.cif,LOW,LOW,7.389576614,TRUE,,,
55,HAMJOW_stripped.cif,LOW,LOW,7.387083724,TRUE,,,
712,DAKVUI_stripped.cif,LOW,LOW,7.376532254,TRUE,,,
566,QILFUO_stripped.cif,LOW,LOW,7.36667323,TRUE,,,
117,AVIHIY_stripped.cif,LOW,LOW,7.316138991,TRUE,,,
348,DIXGIC_stripped.cif,LOW,LOW,7.299367501,TRUE,,,
357,FUSNAJ_stripped.cif,LOW,LOW,7.285873718,TRUE,,,
627,HAHZUM_stripped.cif,LOW,HIGH,7.257209121,FALSE,,,
680,FIRPAZ_stripped.cif,LOW,LOW,7.244422227,TRUE,,,
237,XAYMIW_stripped.cif,LOW,LOW,7.225753494,TRUE,,,
500,OYOWAC_stripped.cif,LOW,LOW,7.208544954,TRUE,,,
570,RUGZAW_stripped.cif,LOW,LOW,7.203893775,TRUE,,,
693,QOTZEG_stripped.cif,LOW,LOW,7.203142574,TRUE,,,
315,JAPZOS_stripped.cif,LOW,HIGH,7.159468774,FALSE,,,
429,XALMII_stripped.cif,LOW,HIGH,7.134409227,FALSE,,,
104,UHETEH_stripped.cif,LOW,LOW,7.13314089,TRUE,,,
657,EMAMUC_stripped.cif,LOW,LOW,7.10646549,TRUE,,,
674,UHESOQ_stripped.cif,LOW,LOW,7.102059056,TRUE,,,
736,YUSWIU_stripped.cif,LOW,LOW,7.079141139,TRUE,,,
721,GAMXAV_stripped.cif,LOW,LOW,7.056619921,TRUE,,,
613,RUYQIN_stripped.cif,LOW,LOW,7.048365426,TRUE,,,
169,ZECKOJ_stripped.cif,LOW,HIGH,7.042949324,FALSE,,,
57,SOHGUS_stripped.cif,LOW,LOW,7.033320445,TRUE,,,
781,FEWGAQ_stripped.cif,LOW,LOW,6.953620172,TRUE,,,
8,QATCUJ_stripped.cif,LOW,LOW,6.874518298,TRUE,,,
594,XALXUF01_stripped.cif,LOW,LOW,6.857842842,TRUE,,,
572,YUGLES_stripped.cif,LOW,LOW,6.856250065,TRUE,,,
563,ELERIY_stripped.cif,LOW,LOW,6.852172632,TRUE,,,
600,KOCPUO_stripped.cif,LOW,HIGH,6.838714432,FALSE,,,
370,HIYGIH_stripped.cif,LOW,LOW,6.824481963,TRUE,,,
486,RASPAF_stripped.cif,LOW,LOW,6.814101867,TRUE,,,
686,BUHJUL_stripped.cif,LOW,LOW,6.813825343,TRUE,,,
408,ZEFDIA_stripped.cif,LOW,LOW,6.811166102,TRUE,,,
17,MAHCOQ_stripped.cif,LOW,LOW,6.796755044,TRUE,,,
503,VUGXOM_stripped.cif,LOW,LOW,6.791692875,TRUE,,,
263,RIWMUH_stripped.cif,LOW,LOW,6.782539592,TRUE,,,
498,RAHWOP_stripped.cif,LOW,LOW,6.781210984,TRUE,,,
478,MOCKEV_stripped.cif,LOW,LOW,6.757946467,TRUE,,,
665,CUWNIT_stripped.cif,LOW,HIGH,6.756880835,FALSE,,,
39,GOPCAR_stripped.cif,LOW,LOW,6.716248024,TRUE,,,
