Thresholds,False Positive Rate,True Positive Rate
0.88,0.008050089445438283,0.6611243072050673
0.878,0.008050089445438283,0.66270783847981
0.876,0.008944543828264758,0.665083135391924
0.87,0.008944543828264758,0.669833729216152
0.866,0.008944543828264758,0.6761678543151227
0.864,0.008944543828264758,0.6777513855898654
0.86,0.008944543828264758,0.6825019794140934
0.858,0.011627906976744186,0.6848772763262074
0.854,0.011627906976744186,0.6912114014251781
0.852,0.011627906976744186,0.6935866983372921
0.85,0.011627906976744186,0.6951702296120348
0.848,0.011627906976744186,0.6975455265241488
0.846,0.012522361359570662,0.6991290577988916
0.844,0.012522361359570662,0.7030878859857482
0.842,0.012522361359570662,0.7038796516231196
0.84,0.013416815742397137,0.7070467141726049
0.838,0.014311270125223614,0.7086302454473475
0.836,0.016100178890876567,0.7117973079968329
0.834,0.016100178890876567,0.7157561361836896
0.832,0.016100178890876567,0.7181314330958036
0.828,0.016100178890876567,0.7197149643705463
0.826,0.016100178890876567,0.721298495645289
0.824,0.016100178890876567,0.7244655581947743
0.822,0.016100178890876567,0.7260490894695171
0.82,0.017889087656529516,0.7292161520190024
0.818,0.017889087656529516,0.730799683293745
0.816,0.01967799642218247,0.7339667458432304
0.814,0.02146690518783542,0.7379255740300871
0.812,0.022361359570661897,0.7395091053048297
0.81,0.024150268336314847,0.7410926365795725
0.808,0.025044722719141325,0.7426761678543151
0.806,0.0259391771019678,0.7458432304038005
0.804,0.0259391771019678,0.7474267616785432
0.802,0.0259391771019678,0.7482185273159145
0.8,0.027728085867620753,0.7505938242280285
0.798,0.028622540250447227,0.7521773555027712
0.796,0.03041144901610018,0.7529691211401425
0.794,0.03130590339892665,0.7545526524148852
0.792,0.03309481216457961,0.7553444180522565
0.79,0.03309481216457961,0.7585114806017419
0.788,0.03398926654740608,0.7593032462391133
0.786,0.03398926654740608,0.7616785431512272
0.782,0.03398926654740608,0.7632620744259699
0.78,0.03488372093023256,0.7648456057007126
0.778,0.03488372093023256,0.7672209026128266
0.772,0.03488372093023256,0.768012668250198
0.77,0.03577817531305903,0.7688044338875692
0.768,0.03667262969588551,0.770387965162312
0.766,0.03667262969588551,0.7719714964370546
0.764,0.03667262969588551,0.7727632620744259
0.76,0.03667262969588551,0.7759303246239113
0.758,0.038461538461538464,0.7790973871733967
0.756,0.038461538461538464,0.7806809184481394
0.754,0.03935599284436494,0.7830562153602534
0.752,0.04382826475849732,0.7838479809976246
0.75,0.044722719141323794,0.78701504354711
0.746,0.044722719141323794,0.7917656373713381
0.742,0.044722719141323794,0.7949326999208234
0.736,0.04740608228980322,0.7973079968329374
0.728,0.04740608228980322,0.8036421219319082
0.726,0.04830053667262969,0.8044338875692795
0.722,0.05008944543828265,0.8068091844813935
0.718,0.0518783542039356,0.8083927157561361
0.712,0.0518783542039356,0.8115597783056215
0.71,0.0518783542039356,0.8123515439429929
0.708,0.052772808586762074,0.8139350752177356
0.702,0.05456171735241502,0.8171021377672208
0.698,0.05635062611806798,0.8218527315914489
0.696,0.05635062611806798,0.8242280285035629
0.694,0.057245080500894455,0.8266033254156769
0.692,0.057245080500894455,0.8273950910530483
0.69,0.057245080500894455,0.828978622327791
0.688,0.057245080500894455,0.8297703879651623
0.686,0.059033989266547404,0.8305621536025336
0.684,0.059033989266547404,0.833729216152019
0.682,0.05992844364937388,0.8345209817893904
0.68,0.06082289803220036,0.8368962787015044
0.678,0.06082289803220036,0.8376880443388757
0.676,0.06082289803220036,0.8392715756136183
0.674,0.061717352415026835,0.8408551068883611
0.67,0.06350626118067978,0.8408551068883611
0.668,0.06350626118067978,0.8424386381631037
0.666,0.06440071556350627,0.8424386381631037
0.664,0.06529516994633273,0.8432304038004751
0.662,0.06618962432915922,0.8448139350752177
0.66,0.06618962432915922,0.8456057007125891
0.658,0.06797853309481217,0.8456057007125891
0.656,0.06797853309481217,0.8463974663499604
0.654,0.06887298747763863,0.8463974663499604
0.65,0.06976744186046512,0.8495645288994458
0.642,0.07245080500894455,0.8543151227236738
0.636,0.07245080500894455,0.8590657165479019
0.634,0.07334525939177101,0.8614410134600158
0.632,0.07334525939177101,0.8622327790973872
0.63,0.07334525939177101,0.8653998416468726
0.628,0.07334525939177101,0.8677751385589866
0.622,0.07513416815742398,0.8709422011084719
0.62,0.07692307692307693,0.8725257323832145
0.616,0.07692307692307693,0.8741092636579573
0.614,0.07692307692307693,0.8756927949326999
0.612,0.07960644007155634,0.8772763262074426
0.608,0.07960644007155634,0.8788598574821853
0.606,0.07960644007155634,0.8812351543942993
0.602,0.08318425760286226,0.8844022169437846
0.6,0.08586762075134168,0.885193982581156
0.596,0.08586762075134168,0.8867775138558986
0.594,0.08676207513416816,0.8867775138558986
0.592,0.0885509838998211,0.88756927949327
0.59,0.08944543828264759,0.8891528107680127
0.588,0.09123434704830054,0.889944576405384
0.586,0.09212880143112702,0.8915281076801267
0.584,0.09212880143112702,0.8931116389548693
0.58,0.09212880143112702,0.8954869358669834
0.576,0.09302325581395349,0.8962787015043547
0.574,0.09302325581395349,0.8986539984164688
0.572,0.09391771019677997,0.8986539984164688
0.568,0.09391771019677997,0.901821060965954
0.566,0.09481216457960644,0.901821060965954
0.564,0.09660107334525939,0.9026128266033254
0.562,0.09749552772808587,0.9034045922406968
0.558,0.09749552772808587,0.9049881235154394
0.552,0.09928443649373882,0.9065716547901821
0.55,0.10107334525939177,0.9065716547901821
0.548,0.10196779964221825,0.9081551860649247
0.544,0.10465116279069768,0.9081551860649247
0.542,0.10554561717352415,0.9097387173396675
0.538,0.10554561717352415,0.9113222486144101
0.536,0.10644007155635063,0.9113222486144101
0.534,0.1073345259391771,0.9121140142517815
0.532,0.10912343470483005,0.9121140142517815
0.53,0.11180679785330948,0.9121140142517815
0.526,0.11449016100178891,0.9129057798891528
0.524,0.11449016100178891,0.9152810768012668
0.522,0.11449016100178891,0.9160728424386382
0.52,0.11449016100178891,0.9176563737133808
0.516,0.11627906976744186,0.9176563737133808
0.514,0.11627906976744186,0.9192399049881235
0.51,0.11717352415026834,0.9208234362628662
0.508,0.11985688729874776,0.9216152019002375
0.502,0.11985688729874776,0.9231987331749802
0.5,0.12075134168157424,0.9247822644497229
0.498,0.12432915921288014,0.9247822644497229
0.496,0.1252236135957066,0.9247822644497229
0.494,0.12701252236135957,0.9271575613618369
0.49,0.12701252236135957,0.9279493269992082
0.488,0.12790697674418605,0.9279493269992082
0.486,0.129695885509839,0.9279493269992082
0.484,0.13148479427549195,0.9287410926365796
0.482,0.13237924865831843,0.9287410926365796
0.48,0.13237924865831843,0.9303246239113222
0.478,0.13416815742397137,0.9303246239113222
0.476,0.13416815742397137,0.9326999208234362
0.474,0.13506261180679785,0.9326999208234362
0.47,0.1368515205724508,0.9326999208234362
0.468,0.13864042933810375,0.9334916864608076
0.466,0.13864042933810375,0.934283452098179
0.464,0.1404293381037567,0.9350752177355502
0.462,0.1413237924865832,0.9358669833729216
0.458,0.14311270125223613,0.9358669833729216
0.452,0.14311270125223613,0.936658749010293
0.45,0.1449016100178891,0.936658749010293
0.448,0.14579606440071557,0.9374505146476643
0.446,0.14669051878354203,0.9374505146476643
0.444,0.1475849731663685,0.9390340459224069
0.436,0.1475849731663685,0.9414093428345209
0.434,0.148479427549195,0.9422011084718923
0.43,0.15026833631484796,0.9422011084718923
0.422,0.15026833631484796,0.9453681710213777
0.42,0.1511627906976744,0.946159936658749
0.418,0.15295169946332737,0.946159936658749
0.416,0.15384615384615385,0.946159936658749
0.414,0.15652951699463327,0.9469517022961204
0.412,0.15652951699463327,0.9493269992082344
0.41,0.15742397137745975,0.9493269992082344
0.408,0.15831842576028624,0.950910530482977
0.406,0.16100178890876565,0.9524940617577197
0.402,0.16100178890876565,0.9548693586698337
0.396,0.16279069767441862,0.9548693586698337
0.394,0.16547406082289803,0.9556611243072051
0.392,0.16636851520572452,0.9564528899445764
0.388,0.16994633273703041,0.9564528899445764
0.382,0.17173524150268335,0.9572446555819477
0.378,0.1735241502683363,0.9572446555819477
0.372,0.1771019677996422,0.9572446555819477
0.37,0.1779964221824687,0.9572446555819477
0.368,0.17889087656529518,0.9588281868566905
0.366,0.17889087656529518,0.9596199524940617
0.362,0.18246869409660108,0.9619952494061758
0.36,0.18425760286225404,0.9627870150435471
0.356,0.18425760286225404,0.9635787806809184
0.354,0.18425760286225404,0.9651623119556612
0.352,0.1851520572450805,0.9651623119556612
0.35,0.1851520572450805,0.9659540775930324
0.348,0.18604651162790697,0.9659540775930324
0.346,0.18783542039355994,0.9659540775930324
0.344,0.1887298747763864,0.9659540775930324
0.342,0.18962432915921287,0.9667458432304038
0.34,0.19230769230769232,0.9667458432304038
0.338,0.19320214669051877,0.9667458432304038
0.336,0.19320214669051877,0.9675376088677752
0.332,0.19499105545617174,0.9675376088677752
0.33,0.1967799642218247,0.9699129057798892
0.328,0.19946332737030412,0.9699129057798892
0.326,0.20304114490161002,0.9707046714172605
0.324,0.2039355992844365,0.9707046714172605
0.32,0.20572450805008943,0.9707046714172605
0.318,0.20572450805008943,0.9714964370546318
0.314,0.20930232558139536,0.9714964370546318
0.31,0.2101967799642218,0.9714964370546318
0.308,0.21288014311270126,0.9714964370546318
0.306,0.2146690518783542,0.9714964370546318
0.304,0.21556350626118068,0.9714964370546318
0.302,0.21735241502683364,0.9714964370546318
0.3,0.2182468694096601,0.9722882026920031
0.298,0.21914132379248658,0.9722882026920031
0.296,0.22093023255813954,0.9722882026920031
0.294,0.22182468694096602,0.9722882026920031
0.292,0.22271914132379247,0.9730799683293745
0.29,0.22450805008944544,0.9730799683293745
0.286,0.22540250447227192,0.9730799683293745
0.284,0.22719141323792486,0.9730799683293745
0.282,0.22808586762075134,0.9738717339667459
0.28,0.22898032200357782,0.9738717339667459
0.274,0.23255813953488372,0.9738717339667459
0.272,0.23524150268336314,0.9746634996041171
0.27,0.23613595706618962,0.9746634996041171
0.268,0.23613595706618962,0.9762470308788599
0.266,0.23792486583184258,0.9762470308788599
0.264,0.23792486583184258,0.9770387965162312
0.26,0.23971377459749552,0.9770387965162312
0.256,0.240608228980322,0.9770387965162312
0.254,0.24239713774597496,0.9786223277909739
0.252,0.2441860465116279,0.9786223277909739
0.25,0.24597495527728086,0.9809976247030879
0.248,0.24776386404293382,0.9817893903404592
0.246,0.2504472271914132,0.9817893903404592
0.242,0.2549194991055456,0.9817893903404592
0.238,0.2549194991055456,0.9833729216152018
0.234,0.2567084078711986,0.9841646872525732
0.232,0.26028622540250446,0.9841646872525732
0.23,0.2620751341681574,0.9849564528899446
0.228,0.26565295169946335,0.9849564528899446
0.226,0.26833631484794274,0.9849564528899446
0.224,0.26833631484794274,0.9857482185273159
0.222,0.2701252236135957,0.9865399841646872
0.22,0.2710196779964222,0.9865399841646872
0.218,0.2737030411449016,0.9865399841646872
0.216,0.2772808586762075,0.9873317498020586
0.212,0.2826475849731664,0.9873317498020586
0.21,0.28354203935599287,0.9881235154394299
0.208,0.2853309481216458,0.9881235154394299
0.206,0.2889087656529517,0.9881235154394299
0.204,0.29159212880143115,0.9881235154394299
0.2,0.29338103756708406,0.9881235154394299
0.198,0.2960644007155635,0.9889152810768013
0.196,0.29695885509839,0.9889152810768013
0.194,0.29874776386404295,0.9889152810768013
0.19,0.3041144901610018,0.9889152810768013
0.188,0.30500894454382826,0.9897070467141726
0.186,0.3076923076923077,0.9897070467141726
0.184,0.3085867620751342,0.9897070467141726
0.182,0.3103756708407871,0.9897070467141726
0.176,0.315742397137746,0.9897070467141726
0.172,0.31932021466905186,0.9897070467141726
0.168,0.32021466905187834,0.9904988123515439
0.166,0.3211091234347048,0.9904988123515439
0.164,0.3228980322003578,0.9904988123515439
0.162,0.32558139534883723,0.9912905779889153
0.16,0.32647584973166366,0.9912905779889153
0.158,0.3282647584973166,0.9912905779889153
0.156,0.3291592128801431,0.9912905779889153
0.152,0.334525939177102,0.9912905779889153
0.15,0.33810375670840787,0.9912905779889153
0.148,0.33989266547406083,0.9912905779889153
0.142,0.3479427549194991,0.9912905779889153
0.14,0.34973166368515207,0.9912905779889153
0.138,0.35241502683363146,0.9912905779889153
0.136,0.3542039355992844,0.9912905779889153
0.134,0.3550983899821109,0.9912905779889153
0.132,0.35778175313059035,0.9912905779889153
0.13,0.35867620751341683,0.9912905779889153
0.128,0.3613595706618962,0.9912905779889153
0.126,0.36493738819320215,0.9912905779889153
0.124,0.3694096601073345,0.9912905779889153
0.122,0.37119856887298747,0.9912905779889153
0.12,0.3747763864042934,0.9912905779889153
0.118,0.37656529516994636,0.9920823436262867
0.116,0.3774597495527728,0.9920823436262867
0.114,0.37924865831842575,0.9920823436262867
0.112,0.38014311270125223,0.9920823436262867
0.11,0.3828264758497317,0.9920823436262867
0.108,0.389087656529517,0.9928741092636579
0.106,0.3944543828264758,0.9928741092636579
0.104,0.39713774597495527,0.9928741092636579
0.102,0.39803220035778175,0.9936658749010293
0.1,0.4007155635062612,0.9936658749010293
0.098,0.40429338103756707,0.9944576405384006
0.096,0.407871198568873,0.9944576405384006
0.094,0.41055456171735244,0.9944576405384006
0.092,0.4141323792486583,0.9944576405384006
0.09,0.41681574239713776,0.9944576405384006
0.086,0.42397137745974955,0.9944576405384006
0.084,0.42486583184257604,0.9944576405384006
0.082,0.43202146690518783,0.9944576405384006
0.08,0.4364937388193202,0.995249406175772
0.076,0.4418604651162791,0.995249406175772
0.074,0.44633273703041143,0.995249406175772
0.072,0.4490161001788909,0.995249406175772
0.07,0.4525939177101968,0.995249406175772
0.068,0.4588550983899821,0.995249406175772
0.066,0.46422182468694095,0.9960411718131433
0.064,0.46958855098389984,0.9960411718131433
0.062,0.4731663685152057,0.9960411718131433
0.06,0.4749552772808587,0.9960411718131433
0.058,0.4776386404293381,0.9960411718131433
0.056,0.48389982110912344,0.9968329374505146
0.054,0.4892665474060823,0.9968329374505146
0.052,0.49552772808586765,0.997624703087886
0.05,0.5008944543828264,0.997624703087886
0.048,0.5044722719141324,0.997624703087886
